127.0.0.1 - - [14/Sep/2019:08:59:01 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Sep/2019:08:59:02 +0800] "GET /SecondProject/register.html HTTP/1.1" 200 6371
0:0:0:0:0:0:0:1 - - [14/Sep/2019:08:59:02 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/Sep/2019:09:25:15 +0800] "GET /SecondProject/register.html HTTP/1.1" 200 6215
0:0:0:0:0:0:0:1 - - [14/Sep/2019:09:40:02 +0800] "GET /SecondProject/register.html HTTP/1.1" 200 6528
0:0:0:0:0:0:0:1 - - [14/Sep/2019:09:42:18 +0800] "GET /SecondProject/register.html HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:06:11 +0800] "GET /SecondProject/register.html HTTP/1.1" 200 6372
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:06:12 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:06:15 +0800] "POST /SecondProject/MemAddC HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:06:21 +0800] "GET /SecondProject/Index1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2019:10:06:23 +0800] "POST /SecondProject/MemSearchC HTTP/1.1" 200 15269
